ano,estado,bioma,emissao_agro_tco2e,area_pastagem_degradada_ha,idade_media_pastagem,area_desmatada_total_ha,area_desmatada_ti_ha,area_desmatada_uc_ha,area_desmatada_bacia_ha,chuva_mm,potencial_sequestro_tco2e,receita_potencial_carbono_brl,risco_compliance_eudr_ha
2000,Espírito Santo,Mata Atlântica,25867929.00470649,1973809.3032369064,15.512165572787781,11312.289808306881,1923.9986419372574,3037.3630752563477,280491.4523059692,,3947618.606473813,197380930.32369065,4961.361717193605
2000,Goiás,Cerrado,222155328.08551764,11398541.381445188,13.53317762386812,216211.98461897558,7392.538529968255,3151.042023925782,1323313.6028666506,,22797082.762890376,1139854138.1445189,10543.580553894037
2000,Goiás,Mata Atlântica,4828553.737045527,295049.8466748921,13.838227674710726,1826.4444247558547,1923.9986419372574,3037.3630752563477,280491.4523059692,,590099.6933497842,29504984.667489212,4961.361717193605
2000,Maranhão,Amazônia,25744197.159994733,2629357.086417944,9.40890239962528,188579.2690353025,23025.812996459972,21076.248098791548,1885107.37781126,,5258714.172835888,262935708.6417944,44102.06109525152
2000,Maranhão,Cerrado,28895577.90765924,317019.43968351476,10.927203729104278,125215.26413831781,7392.538529968255,3151.042023925782,1323313.6028666506,,634038.8793670295,31701943.968351476,10543.580553894037
2000,Mato Grosso,Amazônia,128930346.9022957,9136774.817875782,9.312658220048613,573340.024851129,23025.812996459972,21076.248098791548,1885107.37781126,,18273549.635751564,913677481.7875782,44102.06109525152
2000,Mato Grosso,Cerrado,95096010.68773045,5209282.116539931,10.431407791913248,340288.3193414064,7392.538529968255,3151.042023925782,1323313.6028666506,,10418564.233079862,520928211.65399307,10543.580553894037
2000,Mato Grosso,Pantanal,9152208.98136193,414283.7482405555,10.550341698697038,19255.73631582034,246.01393649291958,24.987318383789066,47050.79545903328,,828567.496481111,41428374.82405555,271.00125487670863
2000,Mato Grosso Do Sul,Cerrado,184504345.91332012,10342588.860545252,13.591599003886124,131208.63959785752,7392.538529968255,3151.042023925782,1323313.6028666506,,20685177.721090503,1034258886.0545251,10543.580553894037
2000,Mato Grosso Do Sul,Mata Atlântica,37113061.85417103,1644804.1723486157,14.731206908552466,6048.197059167476,1923.9986419372574,3037.3630752563477,280491.4523059692,,3289608.3446972314,164480417.23486158,4961.361717193605
2000,Mato Grosso Do Sul,Pantanal,22825519.30090381,826963.9580959134,11.147773311417795,27795.059143212944,246.01393649291958,24.987318383789066,47050.79545903328,,1653927.9161918268,82696395.80959134,271.00125487670863
2000,Minas Gerais,Caatinga,12128893.51373263,633179.2731052809,14.295544713256522,21748.127686712673,1711.0771557495127,1685.540448175049,498136.45702171617,,1266358.5462105619,63317927.31052809,3396.617603924562
2000,Minas Gerais,Cerrado,138887394.30036306,10082617.781692816,13.934280726951885,176029.08019573975,7392.538529968255,3151.042023925782,1323313.6028666506,,20165235.563385632,1008261778.1692816,10543.580553894037
2000,Minas Gerais,Mata Atlântica,121134264.85765354,10209025.84867198,15.365709492802996,57859.02667077629,1923.9986419372574,3037.3630752563477,280491.4523059692,,20418051.69734396,1020902584.867198,4961.361717193605
2000,Paraná,Cerrado,1469510.8196792107,28760.03325338129,13.357082849320205,1041.402453015137,7392.538529968255,3151.042023925782,1323313.6028666506,,57520.06650676258,2876003.325338129,10543.580553894037
2000,Paraná,Mata Atlântica,151467877.24040923,2637568.557579772,13.875910279963573,39653.51047563477,1923.9986419372574,3037.3630752563477,280491.4523059692,,5275137.115159544,263756855.75797722,4961.361717193605
2000,Paraíba,Caatinga,12303189.3799525,1239058.5116570096,13.14753426194883,24210.183998156725,1711.0771557495127,1685.540448175049,498136.45702171617,,2478117.023314019,123905851.16570096,3396.617603924562
2000,Paraíba,Mata Atlântica,1079603.6016999506,6467.653263842782,14.822299597056814,993.0729895202642,1923.9986419372574,3037.3630752563477,280491.4523059692,,12935.306527685563,646765.3263842781,4961.361717193605
2000,Pará,Amazônia,121544557.50403892,6658821.966605505,8.70276661128135,658258.0199582934,23025.812996459972,21076.248098791548,1885107.37781126,,13317643.93321101,665882196.6605505,44102.06109525152
2000,Pará,Cerrado,2382908.683602823,122346.09035968476,10.236188991038633,8783.554519134528,7392.538529968255,3151.042023925782,1323313.6028666506,,244692.18071936953,12234609.035968477,10543.580553894037
